"druglocalcode","drugigrdname"
"Drug849","Methimazole"
"Drug850","Polystyrene sulfonate. Ca"
"Drug851","Phenytoin.Sod"
"Drug852","Cytarabine"
"Drug853","Purified Urokinase"
"Drug854","Amoxicillin 500mg+Sulbactam 250mg"
"Drug855","Doxazosin"
"Drug856","Amoxicillin + Clavulanic acid"
"Drug857","Erlotinib"
"Drug858","약용 Yeast, Keratin 외 4종"
"Drug859","Aztreonam"
"Drug860","Acetylcysteine"
"Drug861","Ergotamine Tartrate"
"Drug862","Bromperidol"
"Drug863","Hydroxyurea"
"Drug864","Lactobacillus acidophilus"
"Drug865","Almotriptan malate"
"Drug866","Glibenclamide"
"Drug867","Leucovorin Calcium"
"Drug868","Leucovorin Calcium"
"Drug869","Paliperidone"
"Drug870","Amlodipine 10mg + Olmesartan medoxomil 40mg"
"Drug871","Desmopressin Acetate"
"Drug872","Oxethazaine + Al(OH)3 + MgCO3"
"Drug873","Theophylline"
"Drug874","Orlistat"
"Drug875","Electrolytes for TPN"
"Drug876","Diazepam"
"Drug877","Hydralazine.HCl"
"Drug878","Tacrine.HCl"
"Drug879","Sevelamer HCl"
"Drug880","S-Carboxymethylcysteine + Sobrerol"
"Drug881","Sodium hyaluronate"
"Drug882","Acetyl-L(-) carnitine.HCl"
"Drug883","Ceftazidime.5H2O"
"Drug884","Benidipine"
"Drug885","Potassium Citrate + Citric acid"
"Drug886","Propofol"
"Drug887","Carbetocin"
"Drug888","Risperidone"
"Drug889","Chloramphenicol"
"Drug890","Amitriptyline.HCl"
"Drug891","Dalteparin"
"Drug892","Voriconazole"
"Drug893","Aldesleukin"
"Drug894","Viscum album (아종 : Abietis)"
"Drug895","Moxifloxacin"
"Drug896","Cefotetan"
"Drug897","Etidronate disodium"
"Drug898","Azathioprine"
"Drug899","Glimepiride + Metformin"
"Drug900","Sod.Selenite Pentahydrate(Se로서 100mcg)"
"Drug901","Cimetropium Bromide"
"Drug902","Docetaxel"
"Drug903","Cefazedone Sodium"
"Drug904","S-Amlodipine Nicotinate"
"Drug905","Leuprolide acetate (Leuprorelin acetate)"
"Drug906","Ropinirole"
"Drug907","Cefotiam.HCI"
"Drug908","Labetalol HCl"
"Drug909","Risedronate"
"Drug910","Vacc.Pneumococcal"
"Drug911","Nifedipine"
"Drug912","Oseltamivir"
"Drug1097","Ampicillin 1g, Sulbactam 0.5g"
"Drug1098","Flomoxef sod."
"Drug1099","Perindopril"
"Drug1100","S-Carboxymethylcysteine + Sobrerol"
"Drug1101","Coagulation factor IX"
"Drug1102","Zanamivir"
"Drug1103","Levosulpiride"
"Drug1104","Pramipexole"
"Drug1105","Dibasic sodium phosphate anhydrous 398mg+Monobasic sodium phosphate monohydrate 1102mg"
"Drug1106","Tuberculin 30TU"
"Drug1107","Roxithromycin"
"Drug1108","Methotrexate"
"Drug1109","Atenolol"
"Drug1110","Alprazolam"
"Drug1111","Imipenem + Cilastatin Sod."
"Drug1112","Pentazocin.HCl"
"Drug1113","Viscum Album(Fraxini)"
"Drug1114","Lercanidipine"
"Drug1115","Domperidone"
"Drug1116","Escitalopram oxalate"
"Drug1117","Ephedrine.HCl"
"Drug1118","Mirodenafil"
"Drug1119","Nefopam hydrochloride"
"Drug1120","Cyclosporine"
"Drug1121","Mesalazine"
"Drug1122","Propofol"
"Drug1123","Iron hydroxide sucrose complex"
"Drug1124","Beraprost Sodium"
"Drug1125","Erythropoietin-αrecombinant"
"Drug1126","Propofol"
"Drug1127","Valproate Sodium"
"Drug1128","Filgrastim(G-CSF)"
"Drug1129","Erythropoietin-αrecombinant"
"Drug1130","Baclofen"
"Drug710","Diltiazem"
"Drug711","Macrogol 4000"
"Drug712","Bethanechol chloride"
"Drug713","Desmopressin Acetate"
"Drug714","Carboplatin"
"Drug715","Paliperidone palmitate"
"Drug716","Captopril"
"Drug717","Fludrocortisone Acetate"
"Drug718","Pentosan Polysulfate Sodium"
"Drug719","Alverine Citrate 60mg + Simethicone 300mg"
"Drug720","Diclofenac beta-dimethylaminoethanol"
"Drug721","Acetaminophen"
"Drug722","Isosorbide Dinitrate"
"Drug723","Exenatide 0.3mg, m-cresol 2.64"
"Drug724","Dobutamine.HCl"
"Drug725","Palivizumab"
"Drug726","Mitomycin-C"
"Drug727","Bromelain + Crystallized Trypsin"
"Drug728","Tetanus Immune Globulin (human)"
"Drug729","Caspofungin"
"Drug730","Acetylsalicylic acid(Aspirin)"
"Drug913","Ondansetron"
"Drug914","Phloroglucin + trimethylphloroglucin"
"Drug915","Sildenafil Citrate"
"Drug916","Aceclofenac"
"Drug917","Tiropramide HCl"
"Drug918","Cefuroxime Axetile"
"Drug919","Vincristine sulfate"
"Drug920","Antilymphocyte Immunoglobulin"
"Drug921","Nicotinic acid"
"Drug922","Estradiol"
"Drug923","Sod. Tetradecyl sulfate"
"Drug924","Dexamethasone"
"Drug925","Lopinavir + Ritonavir"
"Drug926","Prazosin.HCl"
"Drug927","Ceftriaxone.Na"
"Drug928","Molsidomine"
"Drug929","Hemodialysis"
"Drug930","Tetracaine"
"Drug931","Dyhydrogesterone"
"Drug932","Galantamine"
"Drug933","Octreotide"
"Drug934","Verapamil.HCl"
"Drug935","Amlodipine 5mg+Valsartan 160mg"
"Drug936","Norepinephrine Bitartrate"
"Drug937","Valsartan 80mg"
"Drug938","Oxycodone HCl + Naloxone HCl"
"Drug939","Escitalopram"
"Drug940","Topiramate"
"Drug941","Hematoporphyrin derivatives"
"Drug942","Muromonab CD3"
"Drug943","Indocyanine Green"
"Drug944","Perphenazine.HCl"
"Drug945","Cefotiam.HCI"
"Drug946","Ertapenem Na"
"Drug947","Thiocolchicoside 4mg + Escin free acid 20mg"
"Drug948","Testosterone Undecanoate"
"Drug949","Dacarbazine"
"Drug950","Quetiapine"
"Drug951","Quetiapine"
"Drug952","Cefepime HCl"
"Drug953","Phenylephrine"
"Drug954","Chloramphenicol"
"Drug955","Udenafil"
"Drug956","Theophylline"
"Drug957","Human chorionic gonadotropin"
"Drug958","Aripiprazole"
"Drug959","Aminobenzoate potassium"
"Drug960","Buspirone.HCl"
"Drug961","Somatostatin"
"Drug962","Dienogest + Estradiol valerate "
"Drug963","Selegiline.HCl"
"Drug964","Liver ext.etc"
"Drug965","Calcium gluconate"
"Drug966","Terpenes (Pinene 17mg+camphene 5mg+cineol 2mg+borneol 5mg+menthol 32mg+menthone 6mg)"
"Drug967","Dalteparin"
"Drug968","Losartan K"
"Drug969","Zopiclone"
"Drug970","Vacc. MMR"
"Drug971","Irbesartan 150mg+Hydrochlorothiazide 12.5mg"
"Drug972","Pelargonium sidoides ext"
"Drug973","Temozolomide"
"Drug974","Levofloxacin"
"Drug975","Leuprorelin"
"Drug976","Naloxone HCl"
"Drug977","Cytochrom-C"
"Drug978","Fosinopril Sod."
"Drug979","Procaterol.HCl"
"Drug980","Sulindac"
"Drug981","Caffeine citrate"
"Drug982","Peritoneal dialysate"
"Drug983","Elcatonin"
"Drug984","Tramadol + Acetaminophen"
"Drug985","Serratiopeptidase"
"Drug986","Levetiracetam"
"Drug987","Megestrol acetate"
"Drug988","Metformin HCl"
"Drug989","Tretinoin"
"Drug990","Carbamazepine"
"Drug991","Nifedipine"
"Drug731","Cholecalciferol 500unit+Ascorbic acid 50mg"
"Drug732","Azelastine"
"Drug733","Venlafaxine HCl"
"Drug734","Peritoneal dialysate"
"Drug735","Oseltamivir"
"Drug736","Ezetimibe"
"Drug737","Repaglinide"
"Drug738","Cyproheptadine Orotate + Carnitine + Lysine + Cyanocobalamin"
"Drug739","Imipenem + Cilastatin Sod."
"Drug740","Nabumetone"
"Drug741","Bethanechol Cl"
"Drug742","Hepatitis B Immunoglobulin"
"Drug743","Estrodiol Hemihydrate"
"Drug744","Tramadol.HCl"
"Drug745","Clozapine"
"Drug746","Fluticasone furoate"
"Drug747","Insulin Human"
"Drug748","Minoxidil"
"Drug749","Protamine sulfate"
"Drug750","Dacarbazine"
"Drug751","Levonorgestrel"
"Drug752","Amphotericin-B"
"Drug753","Saccharomyces cerevisiae Hansen CBS 5926"
"Drug754","Bromelain"
"Drug755","Hyaluronate Sodium"
"Drug756","Ribavirin"
"Drug757","Dopamine.HCl"
"Drug758","Adenosine"
"Drug759","Albendazole"
"Drug760","Fibrinogen+Aprotinin+Thrombin+CaCl2"
"Drug761","Aprepitant"
"Drug762","Clarithromycin"
"Drug763","Dextrose"
"Drug764","Lenograstim"
"Drug765","Stavudine"
"Drug766","Clarithromycin"
"Drug767","Oxymetholone"
"Drug768","Ascorbic acid 500mg+Beta-carotene 3mg+Tocopherol acetate 200mg+Ubidecarenone 5mg+Selenium 25mg+Zinc "
"Drug769","Hydromorphone HCl 16.35mg"
"Drug770","Growth Hormone (human)"
"Drug771","Acyclovir"
"Drug772","Rasburicase"
"Drug773","Metformin HCl + Rosiglitazone maleate"
"Drug774","B-Sitosterol"
"Drug775","Choline Orotate 1000mg+Adenosine100mg+Cyanocobalamin 2.5mg Etc"
"Drug776","자하거 가수분해물"
"Drug777","Methoxsalen"
"Drug778","Glutathione, reduced"
"Drug779","Ticlopidine HCl 250mg, Ginkgo biloba ext. 80mg"
"Drug780","Ceftriaxone Na"
"Drug781","Insulin Lispro"
"Drug782","Acetylcysteine"
"Drug783","Nystatin (100,000U/ml)"
"Drug784","Oxcarbazepine"
"Drug785","Atorvastatin"
"Drug786","Weat germ oil외 생약 4종"
"Drug787","Carbimazole"
"Drug788","Oseltamivir"
"Drug789","Olanzapine"
"Drug790","Tizanidine.HCl"
"Drug791","Pancreation etc"
"Drug792","Dasatinib"
"Drug793","Mometasone furoate"
"Drug794","Doxazosin mesylate"
"Drug795","Ranitidine HCl"
"Drug796","Bromhexine"
"Drug797","Cisplatin"
"Drug798","Atracrium besylate"
"Drug799","Chlormezanone"
"Drug800","Rosiglitazone"
"Drug801","Vincristine sulfate"
"Drug802","Clarithromycin"
"Drug803","Thiotepa"
"Drug804","Methotrexate"
"Drug805","Isepamicin sulfate"
"Drug806","Thiamine.HCl"
"Drug807","Clomipramine"
"Drug808","Ustekinumab"
"Drug809","Liothyronine"
"Drug810","Clindamycin + Benzoyl Peroxide"
"Drug811","Ranitidine HCl"
"Drug812","Tinidazole"
"Drug813","Panipenem 0.5g + Betamipron 0.5g"
"Drug814","Minocycline.HCl"
"Drug815","Alprostadil(Lipo PGE1)"
"Drug816","Bisoprolol"
"Drug817","Autologus chondrocyte 1200만개 cell/0.4ml"
"Drug818","Methylphenidate HCl"
"Drug819","Amantadine sulfate"
"Drug820","Lansoprazole"
"Drug821","Polysaccharide-K"
"Drug822","Lactitol Monohydrate"
"Drug823","Alendronate 5mg + Calcitriol 0.5mcg"
"Drug824","Peritoneal dialysate"
"Drug825","Polydeoxyribonucleotide sodium"
"Drug826","Multi-Vitamin(12종)"
"Drug827","Lidocaine "
"Drug828","Metformin"
"Drug829","hydroquinone+Tretinoin+Fluocinolone acetonide"
"Drug830","Topotecan HCl"
"Drug572","Hydrocodone 7.5mg+Acetaminophen 500mg"
"Drug573","Roxatidine acetate.HCl"
"Drug574","Ramosetron"
"Drug575","Ciprofloxacin"
"Drug576",""
"Drug577","Dimenhydrinate"
"Drug578","Venlafaxine HCl"
"Drug579","Amitriptyline.HCl"
"Drug580","Triamcinolone acetonide"
"Drug581","FSH+LH"
"Drug582","Estropipate"
"Drug583","Erythropoietin-beta recombinant"
"Drug584","Atomoxetine"
"Drug585","Telmisartan + Hydrochlorothiazide"
"Drug586","Glimepiride + Metformin"
"Drug587","Sibutramine"
"Drug588","Linagliptin"
"Drug589","Atazanavir sulfate"
"Drug590","Interferon alpha-2b"
"Drug591","Hederae helix ex.(Ivy leaves)"
"Drug592","Coagulation factor VIII"
"Drug593","Peramivir"
"Drug594","Captopril"
"Drug595","Erythromycin estolate"
"Drug596","Lamotrigine"
"Drug597","Ketotifen Hydrogen fumarate"
"Drug598","Peritoneal dialysate"
"Drug599","Mg.Lactate 470mg + Pyridoxine HCl 5mg"
"Drug600","Human Papiloma virus Recombinant Vaccine, Quarivalent"
"Drug601","Ciprofloxacin"
"Drug602","Midodrine.HCl"
"Drug603","Nalbuphine HCl"
"Drug604","Valproate Sodium"
"Drug605","Kanamycin Sulfate"
"Drug606","Isosorbide Dinitrate"
"Drug607","Risperidone"
"Drug608","Thyrotropin alpha"
"Drug609","Pioglitazone"
"Drug610","Vacc.Pneumococcal"
"Drug611","Vacc. Polio Virus"
"Drug612","Human thrombin "
"Drug613","Salmeterol 50mcg + Fluticasone propionate 500mcg/puff"
"Drug614","Pioglitazone"
"Drug615","Docetaxel"
"Drug616","Valsartan + Hydrochlorothiazide"
"Drug617","Tramadol.HCl"
"Drug618","Hydroxyzine.2HCl"
"Drug619","Vacc.Rubella"
"Drug620","Oxytocin"
"Drug621","Sod.alginate"
"Drug622","Acarbose"
"Drug623","Azithromycin"
"Drug624","Peritoneal dialysate"
"Drug625","Doxycycline monohydrate 100mg"
"Drug626","Octreotide"
"Drug627","Teicoplanin"
"Drug628","Progesterone(Micronized)"
"Drug629","Propofol"
"Drug630","Attapulgite"
"Drug631","Propofol"
"Drug632","Tamsulosin"
"Drug633","Pot.Chloride(40mEq)"
"Drug634","Immunoglobulin-G (IM)"
"Drug635","L-Asparaginase (Erwina carotovora preparation)"
"Drug636","Micronomicin Sulfate"
"Drug637","Sodium Chloride 744mg 외 7개"
"Drug638","Peritoneal Dialysate"
"Drug639","Peritoneal dialysate"
"Drug640","Ketamine.HCl"
"Drug641","Cyproterone"
"Drug642","Repaglinide"
"Drug643","Erythropoietin-a recombinant"
"Drug644","Methocarbamol+Aspirin"
"Drug645","Entacapone"
"Drug646","Vacc.Typhoid"
"Drug647","Ginkgo biloba ext."
"Drug648","Clonazepam"
"Drug649","Cytomegalovirus Immune globulin"
"Drug650","Ipratropium Br"
"Drug651","Bacillus subtilis Etc"
"Drug652","Insulin aspart"
"Drug653","Nicergoline"
"Drug654","Ceftriaxone.Na"
"Drug655","Risperidone"
"Drug831","Coagulation factor VIII"
"Drug832","Megestrol acetate"
"Drug833","Pilocarpine HCl"
"Drug834","Nicergoline"
"Drug835","Methylergometrine hydrogen maleate"
"Drug836","Monobasic Potassium phosphate"
"Drug837","Viscum album (아종 : Mali)"
"Drug838","Lidocaine.HCl (4%)"
"Drug839","Tenoxicam"
"Drug840","Cicloxilic acid"
"Drug841","Oxaliplatin"
"Drug842","Terbutaline sulfate"
"Drug843","Estriol"
"Drug844","Radotinib"
"Drug845","Doxifluridine"
"Drug846","Nicardipine"
"Drug423","Clobazam"
"Drug424","Ebastine"
"Drug425","Itraconazole"
"Drug426","Warfarin Sod"
"Drug427","Estradiol Hemihydrate"
"Drug428","Zipeprol HCl"
"Drug429","Cetraxate.HCl"
"Drug430","Gemtuzumab ozogamicin"
"Drug431","Methotrexate"
"Drug432","Ascorbic acid"
"Drug433","Ritodrine.HCl"
"Drug434","Ketamine HCl"
"Drug435","Erythropoietin"
"Drug436","Clown Mustard 외 9개 생약성분 복합제"
"Drug437","Ketoconazole"
"Drug438","Vardenafil"
"Drug439","Interferon gamma"
"Drug440","Ropinirole"
"Drug441","Cyclosporine"
"Drug442","Tianeptine Sodium"
"Drug443","Hemodialysate"
"Drug444","Ascorbic acid(Vit.C)"
"Drug445","Valproate Sodium"
"Drug446","Gabapentin"
"Drug447","Hyaluronidase"
"Drug448","Ritodrine HCl"
"Drug449","Budesonide 320mcg + Formoterol 9mcg"
"Drug450","Dabigatran etexilate"
"Drug451","Ulinastatin"
"Drug452","Aceglutamide Al + Simethicone + Mg.Hydroxide + Al.Hydroxide"
"Drug453","Ketorolac Tromethamine"
"Drug454","Torasemide"
"Drug455","Teicoplanin"
"Drug456","Atorvastatin calcium anhydrous"
"Drug457","Follitropin alfa"
"Drug458","Rosuvastatin Ca"
"Drug459","Piperacillin + Tazobactam"
"Drug460","Fosphenytoin sodium"
"Drug461","Propafenone"
"Drug462","Nalbuphine HCl"
"Drug463","Carmustine"
"Drug464","Entecavir"
"Drug465","Sevelamer carbonate"
"Drug466","Tenofovir Disoproxil Fumarate 300mg+Emtricitabine 200mg"
"Drug467","Eprosartan"
"Drug468","Choline alfoscerate"
"Drug656","Lactulose"
"Drug657","Valsartan 80mg+Hydrochlorothiazide 12.5mg"
"Drug658","Sertraline.HCl"
"Drug659","Doxifluridine"
"Drug660","Candesartan "
"Drug661","Coagulation factor VII (Eptacog alfa)"
"Drug662","Phytonadione(Vit.K1)"
"Drug663","Acetaminophen"
"Drug664","Estradiol Hemihydrate 1.03mg + Norethisterone Acetate 0.5mg /T"
"Drug665",""
"Drug666","Hyperici Ext. (St.John's Wort Ext.)"
"Drug667","Viscum Album"
"Drug668","Clopidogrel resinate"
"Drug669","Distilled Water"
"Drug670","Mecobalamin"
"Drug671","Methotrexate"
"Drug672","Levodopa+Benserazide"
"Drug673","Docetaxel"
"Drug674","Pergolide Mesylate"
"Drug675","Ondansetron"
"Drug676","Griseofulvin"
"Drug677","Imipramine.HCl"
"Drug678","Metoclopramide.HCl"
"Drug679","Cefprozil"
"Drug680","Estropipate"
"Drug681","Tetracycline.HCl"
"Drug682","Dalteparin"
"Drug683","Vildagliptin 50mg + Metformin 850mg"
"Drug684","Alcohol dehydrated"
"Drug685","Tetanus Immune Globulin (human)"
"Drug686","Cefuroxime Sodium"
"Drug687","Lomustine"
"Drug688","Glibenclamide 2.5mg + Metformin 400mg"
"Drug689","Epoetin beta, Methoxy polyethylene glycol"
"Drug690","Viscum album (아종 : Mali)"
"Drug691","Vacc.Pneumococcal"
"Drug692","Tobramycin sulfate"
"Drug693","Phenobarbital sod."
"Drug694","Human chorionic gonadotropin"
"Drug695","Vinorelbine"
"Drug696","Adenosine triphosphate disodium"
"Drug697","Aztreonam"
"Drug698","Pamidronate Disodium"
"Drug699","Peginterferon alpha-2a"
"Drug700","Estradiol + Drospirenone"
"Drug701","Oxidized regenerated cellulose 100g"
"Drug702","Guar Gum"
"Drug703","Procainamide.HCl"
"Drug704","Pemirolast"
"Drug705","Dutasteride"
"Drug706","Acetylsalicylic acid(Aspirin)"
"Drug707","Levofloxacin"
"Drug708","Terbinafine.HCl"
"Drug709","Immunoglobulin-G "
"Drug469","Ibuprofen"
"Drug470","Ethosuximide"
"Drug471","Pancreatin etc"
"Drug472","Glycopyrrolate "
"Drug473","Thymomodulin"
"Drug474","Balsalazide"
"Drug475","Ifosfamide"
"Drug476","Indomethacin Sodium"
"Drug477","Interferon alpha-2a"
"Drug478","Insulin Glargine"
"Drug479","Rabeprazole"
"Drug480","Esomeprazole"
"Drug481","Propofol"
"Drug482","Carduus marianus ext.(Silymarin + silybin)"
"Drug483","Methylphenidate HCl"
"Drug484","Indobufen"
"Drug485","Tamoxifen"
"Drug486","Sevelamer HCl"
"Drug487","Levetiracetam"
"Drug488","Amoxicillin+Clavulanic acid"
"Drug489","Ampicillin + Sulbactam"
"Drug490","Tamoxifen citrate"
"Drug491","Levofloxacin"
"Drug492","Trimebutin maleate"
"Drug493","Barnidipine HCl"
"Drug494","Vitamin B1,B6,B12"
"Drug495","Dexamethasone"
"Drug496","Na2HPO4.7H2O + NaH2PO4.H2O"
"Drug497","Vacc.Hepatitis B"
"Drug498","Trazodone.HCl"
"Drug499","Tigecycline"
"Drug500","Limaprost"
"Drug501","Busulfan"
"Drug502","Penicillin-G Potassium"
"Drug503","Gefitinib"
"Drug504","Piretanide"
"Drug505","Nifedipine"
"Drug506","Loxoprofen Sodium"
"Drug507","Vacc. D.P.T"
"Drug508","Propofol"
"Drug509","Allopurinol"
"Drug510","Trimethoprim+Sulfamethoxazole"
"Drug511","Ticlopidine.HCl"
"Drug512","Loperamide"
"Drug513","Vinblastine sulfate"
"Drug514","Aluminium hydroxide etc"
"Drug515","Azithromycin"
"Drug516","Sulpiride"
"Drug517","Hydroquinone"
"Drug518","Histidine + Lysine + Tryptophan + Tyrosin외"
"Drug519","Peritoneal dialysate"
"Drug520","BCG Strain Connaught"
"Drug521","Tadalafil"
"Drug522","Carbohydrate+Protein+fat+Dietary fiber+Vitamins+Minerals"
"Drug523","Mosapride"
"Drug524","Insulin aspart"
"Drug525","Cyclosporine"
"Drug526","Vigabatrin"
"Drug527","Phenobarbital Sod."
"Drug528","Meropenem"
"Drug529","Amikacin sulfate"
"Drug530","Riboflavin tetrabutylate"
"Drug531","Ceftizoxime sod."
"Drug532","Propofol"
"Drug533","Primaquine"
"Drug534","Peritoneal Dialysate"
"Drug535","Peritoneal dialysate"
"Drug536","Prothionamide"
"Drug537","Buspirone.HCl"
"Drug538","Vecuronium Br"
"Drug539","Lacosamide"
"Drug540","Nelfinavir"
"Drug541","Diacerhein"
"Drug542","Benzathine penicillin"
"Drug543","Rufinamide"
"Drug544","Mirtazapine"
"Drug545","Bromhexine.HCl"
"Drug546","Amino acids"
"Drug547","Lidocaine HCl"
"Drug548","Probucol"
"Drug549","Ranitidine HCl"
"Drug550","Octreotide"
"Drug551","Ampicillin.Na"
"Drug552","Codeine phosphate+Acetaminophen"
"Drug553","5-FU + Salicylic acid"
"Drug554","Sarpogrelate"
"Drug555","Tolterodine"
"Drug556","Imatinib mesylate"
"Drug557","Dalteparin"
"Drug558","Leucovorin Calcium"
"Drug559","Telmisartan 80mg + Amlodipine 5mg "
"Drug560","Peritoneal dialysate"
"Drug561","Acyclovir"
"Drug562","Cefotiam Hexetile"
"Drug563","Sodium Hyaluronate 11.9mg"
"Drug564","Agiolax pregranules(Plantaginis semen etc)"
"Drug565","Nimustine.HCl"
"Drug566","Carboplatin"
"Drug567","Abatacept"
"Drug568",""
"Drug287","Paclitaxel"
"Drug288","Terazosin HCl"
"Drug289","Growth Hormone(Somatropin)"
"Drug290","Abacavir 600mg + Lamivudine 300mg"
"Drug291","IgM enriched human immunoglobulin"
"Drug292","Vardenafil"
"Drug293","Hydromorphone HCl 32mg"
"Drug294","Vitamine multiple"
"Drug295","Eltrombopag"
"Drug296","Cimicifugae Rhizoma Isopropanol Ext"
"Drug297","Megestrol acetate"
"Drug298","Fluvastatin"
"Drug299","Cyclosporine"
"Drug300","Follitropin-β"
"Drug301","Vancomycin HCl"
"Drug302","Medroxyprogesterone acetate"
"Drug303","Immunoglobulin-G (IM)"
"Drug304","Salbutamol"
"Drug305","Calcium Lactate+Vit.D"
"Drug306","Astromicin Sulfate"
"Drug307","Quetiapine"
"Drug308","Gelatin sponge"
"Drug309","Terfenadine"
"Drug310","Fusidic acid Sodium"
"Drug311","Tramadol HCl 18.75mg, Acetaminophen 162.5mg"
"Drug312","Dabigatran etexilate"
"Drug313","Tadalafil"
"Drug314","Risperidone"
"Drug315","Fenoterol HBr"
"Drug316","Captopril"
"Drug317","Acetazolamide"
"Drug318","Clenbuterol HCl"
"Drug319","Cal carbonate 1250mg + Cholecalciferol 1000IU"
"Drug320","Insulin Glargine"
"Drug321","Alprostadil + Phentolamine + Papaverine"
"Drug322","Ecabet Sodium"
"Drug323","Vacc. Polio Virus"
"Drug324","Heparin Sodium"
"Drug325","Lomustine (CCNU)"
"Drug326","Lactulose"
"Drug327","Biphenyl dimethyl dicarboxylate"
"Drug328","Verteporfin"
"Drug329","Alendronate"
"Drug330","Sod. Chloride"
"Drug331","Candesartan"
"Drug332","Perindopril"
"Drug333","Botulinum toxin type A"
"Drug334","Peritoneal dialysate"
"Drug335","Isosorbide Mononitrate"
"Drug336","Sparfloxacin"
"Drug337","Peritoneal dialysate"
"Drug338","Vacc.Hepatitis B"
"Drug339","Gemcitabine"
"Drug340","Pancreatin 3.5mg, Cellulase AP3 10mg, UDCA 10mg, Simethicone 30mg"
"Drug341","Tropisetron"
"Drug342","Piperacillin + Tazobactam"
"Drug343","Pheniramine maleate"
"Drug344","Solifenacin"
"Drug345","Mosapride"
"Drug346","Propranolol"
"Drug347","Oxaliplatin"
"Drug348","Milrinone"
"Drug349","Benztropine Mesylate"
"Drug350","Letrozole"
"Drug351","Risperidone"
"Drug352","Bromazepam"
"Drug353","Glycyrrhizinate ammonium 53mg, Glycine 400mg, Cysteine 15.37mg"
"Drug354","Thioridazine"
"Drug355","Desmopressin Acetate"
"Drug356","Telmisartan"
"Drug357","Paclitaxel"
"Drug358","γ-linolenic acid"
"Drug359","Clomipramine"
"Drug360","Isosorbide Dinitrate"
"Drug361","Methotrexate"
"Drug362","Choline Magnesium Trisalicylate"
"Drug363","Vaccine  B.C.G"
"Drug364","Lonazolac Ca"
"Drug365","Trihexyphenidyl"
"Drug366","Metformin HCl + Rosiglitazone maleate"
"Drug367","Oxcarbazepine"
"Drug368","Extratum Cepae 100mg + Heparin Sodium 50IU + Allantoin 10mg /G"
"Drug369","Testosterone Propionate"
"Drug370","Terbutaline sulfate"
"Drug371","Choline Orotate 50mg + Cysteine HCl 20mg Etc"
"Drug372","Ibuprofen"
"Drug373","Neomycin + Dexamethasone + Polymyxin B"
"Drug374","Alprostadil + Phentolamine + Papaverine"
"Drug375","Nifedipine"
"Drug376","Electrolytes"
"Drug377","Pranlukast hydrate"
"Drug378","Acetyl-L-carnitine"
"Drug379","Immunoglobulin-G(IV)"
"Drug380","Beta-Carotene 10%+Ascorbic acid 90%+Tocopherol acetate 50%+Cupric oxide+Zinc oxide"
"Drug381","Procarbazine"
"Drug382","Gliclazide"
"Drug383","Aminolevulinic acid"
"Drug569","Famciclovir"
"Drug570","Protirelin tartrate"
"Drug571","Peritoneal dialysate"
"Drug144","Ivy leaf 30% Ethanol Dried Ext.+ Coptis Rhizoma Butanol Dried Ext."
"Drug145","Alcohol Dehydrated"
"Drug146","Zolpidem hemitartrate"
"Drug147","Acyclovir"
"Drug148","Ropinirole"
"Drug149","B-Galactosidase"
"Drug150","Pregabalin"
"Drug151","Suxamethonium chloride"
"Drug152","Propofol"
"Drug153","Diltiazem.HCl"
"Drug154","Alendronate 70mg+Cholecalciferol 5600unit"
"Drug155","Lactobacillus rhamnosus + Lactobacillus acidophilus"
"Drug156","L-Arginine-L-aspartate"
"Drug157","Amoxicillin"
"Drug158","Nateglinide"
"Drug159","Aripiprazole"
"Drug160","Lafutidine"
"Drug161","Coagulation factor IX"
"Drug162","Methylphenidate HCl"
"Drug163","Everolimus"
"Drug164","Progesterone"
"Drug165","Agalsidase beta"
"Drug166","Aspirin-Micrograins"
"Drug167","Natamycin 50mg/ml"
"Drug168","Viscum Album"
"Drug169","Mg.dimecrotate"
"Drug170","Itraconazole"
"Drug171","Ganirelix"
"Drug172","Kanamycin Sulfate Soluble"
"Drug173","Mitomycin C"
"Drug174","Insulin Human (NPH)"
"Drug175","Antithymocyte Immunoglobulin(Rabbit)"
"Drug176","Famotidine"
"Drug177","Vitamins + Minerals"
"Drug178","Hydroxyzine HCl"
"Drug179","Alprostadil"
"Drug180","Galantamine"
"Drug181","Terazosin HCl"
"Drug182","Leucovorin Calcium"
"Drug183","Ipratropium + Salbutamol"
"Drug184","Valproate Sodium"
"Drug185","Enteral Nutrition Liquid"
"Drug186","Metoprolol tartrate"
"Drug187","Ketorolac Tromethamine"
"Drug188","Spectinomycin"
"Drug189","Viscum album (아종 : Abietis)"
"Drug190","r-TPA"
"Drug191","Ethinylestradiol + Levonorgestrel"
"Drug192","Epinephrine"
"Drug193","Insulin Human(NPH)"
"Drug194","Beclometasone + Formoterol"
"Drug195","Epinephrine"
"Drug196","Dasatinib"
"Drug197","Venlafaxine HCl"
"Drug198","Diltiazem"
"Drug199","Voglibose"
"Drug200","Activated charcoal (micronized)"
"Drug201","Gabapentin"
"Drug202","Celecoxib"
"Drug203","Dichloralphenazone+acetaminophen+Isometheptene"
"Drug204","Clotiazepam"
"Drug384","Gemcitabine"
"Drug385","Naftopidil"
"Drug386","S-adenosyl-L-methionine"
"Drug387","Gliclazide"
"Drug388","Tegafur 100mg + Uracil 224mg"
